crID	cat	trf	maxnet	new_purity	new_recovered	new_n_big	new_assigned	new_n_alleles	cur_purity	cur_recovered	cur_n_big	cur_assigned	cur_n_alleles
847	hom	False	73	1.0	True	2	1.0	1	1.0	True	1	1.0	1
848	hom	True	167	1.0	True	2	1.0	1	1.0	True	1	1.0	1
849	cpx_het	True	78	1.0	True	2	1.0	2	1.0	True	2	1.0	2
850	het	True	40	1.0	True	2	1.0	2	0.9	True	2	1.0	2
851	cpx_het	True	152	1.0	True	2	1.0	2	0.5	False	1	1.0	2
857	cpx_het	True	90	1.0	True	2	1.0	2	0.9583333333333334	True	2	1.0	2
859	hom	True	47	1.0	True	1	0.9	1	1.0	True	1	1.0	1
860	ref	True	0	1.0	True	2	0.6923076923076923	1	1.0	True	2	1.0	1
861	ref	False	0	1.0	True	2	0.7037037037037037	1	1.0	True	2	1.0	1
862	ref	False	0	1.0	True	3	1.0	1	1.0	True	2	1.0	1
863	ref	False	0	1.0	True	2	1.0	1	1.0	True	2	1.0	1
864	ref	True	0	1.0	True	2	0.9743589743589743	1	1.0	True	1	1.0	1
865	ref	False	0	1.0	True	1	0.9375	1	1.0	True	1	1.0	1
866	het	True	39	1.0	True	2	1.0	2	1.0	True	2	1.0	2
867	het	True	36	1.0	True	2	1.0	2	0.9444444444444444	True	2	1.0	2
868	hom	True	44	1.0	True	2	1.0	1	1.0	True	1	1.0	1
869	het	False	38	1.0	True	2	1.0	2	1.0	True	2	1.0	2
870	ref	False	0	1.0	True	1	1.0	1	1.0	True	1	1.0	1
873	het	True	38	1.0	True	2	1.0	2	1.0	True	2	1.0	2
874	cpx_het	True	225	1.0	True	2	1.0	2	1.0	True	2	1.0	2
876	het	True	48	1.0	True	2	1.0	2	1.0	True	2	1.0	2
877	ref	False	0	1.0	True	2	0.9565217391304348	1	1.0	True	1	1.0	1
878	het	True	151	1.0	True	2	1.0	2	0.9444444444444444	True	2	1.0	2
882	het	True	40	1.0	True	2	1.0	2	0.7647058823529411	False	1	1.0	2
883	ref	False	0	1.0	True	2	1.0	1	1.0	True	1	1.0	1
884	ref	True	0	1.0	True	2	1.0	1	1.0	True	1	1.0	1
887	cpx_het	True	98	1.0	True	2	1.0	2	0.5833333333333334	False	1	1.0	2
888	het	False	36	1.0	True	2	1.0	2	1.0	True	2	1.0	2
889	cpx_het	True	507	1.0	True	2	1.0	2	1.0	True	2	1.0	2
891	het	False	36	1.0	True	2	1.0	2	0.8823529411764706	True	2	1.0	2
892	het	False	317	1.0	True	2	0.9166666666666666	2	1.0	True	2	1.0	2
893	het	True	45	1.0	True	2	1.0	2	1.0	True	2	1.0	2
894	hom	True	3047	1.0	True	2	1.0	1	1.0	True	2	1.0	1
895	het	True	46	1.0	True	2	1.0	2	0.5333333333333333	False	1	1.0	2
896	hom	True	576	1.0	True	2	1.0	1	1.0	True	1	1.0	1
897	hom	True	158	1.0	True	2	0.9166666666666666	1	1.0	True	1	1.0	1
898	het	False	72	1.0	True	2	1.0	2	1.0	True	2	1.0	2
899	hom	False	99	1.0	True	2	1.0	1	1.0	True	1	1.0	1
900	cpx_het	False	35	0.75	False	2	0.9230769230769231	2	0.9230769230769231	True	2	1.0	2
901	het	True	93	1.0	False	1	0.625	2	1.0	True	2	1.0	2
903	het	False	37	1.0	True	2	1.0	2	0.7222222222222222	False	1	1.0	2
904	hom	False	38	1.0	True	2	1.0	1	1.0	True	1	1.0	1
905	cpx_het	True	48	1.0	True	2	1.0	2	1.0	True	2	1.0	2
