crID	flank	n_reads	raw_sites	sites	sv_sites	pairs_decided	n_groups	grouped_frac	sizes	secs	cur_n	ari_vs_cur	trio_n	trio_pat	trio_mat	acc_new	split_err_new	join_err_new	acc_cur	split_err_cur	join_err_cur	_labels
10	5000	29	39	3	0	0.057	1	0.276	8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1.0	1	0.0	23	17	8	0.526	0.851	0.0	0.557	0.0	1.0	{"0c746629-a078-4bda-a7dd-741f193ffebb": 0, "0f06d6aa-76ff-4cdd-bf26-f46849157096": 1, "25987fd9-0b6f-4c1d-9cff-0b4ddb7dc19b": 2, "2aa981f2-1c68-41c1-aba1-f2a3a6ace439": 1, "2ea980ee-4132-4fa0-8f2b-a3e531185d7d": 3, "34b82756-f2cd-4c4e-8158-7e17eace25de": 4, "46038410-7173-40e7-94d5-1b183c810558": 5, "491b6e22-55fd-4d96-9d45-6dc66bcf7de3": 6, "4d6b2250-b5c2-4692-ac7a-415d940c379e": 7, "74e8cb0e-9166-42f9-b464-9f5139a2973f": 8, "7613170d-5dc9-4176-9106-8dc818cc7294": 9, "78dcf924-63ca-46e2-9c23-bfc4c1e5d455": 10, "7b949942-5d82-4e76-af90-aebb000200ca": 1, "84858707-53b8-4981-a726-b2bb3341455a": 1, "8e0c272a-3697-470f-9abe-2c9b4f66cbde": 1, "8fbec57e-f1c2-469e-a40b-cd51139bf7c3": 1, "9d7698fe-ded2-40d1-bde1-a9532dca6200": 11, "a4697ac1-b015-4e9f-8dab-12cf34abf6e9": 12, "afdf09f1-d40f-4386-b71b-22719ac08d8a": 13, "b2b5735c-8e09-4f2b-a67d-756d32472352": 14, "b7d304d2-dae7-4790-8ebf-62b3e89a4904": 15, "bedc3800-f975-4738-a8ab-fa5bc77990d6": 16, "c48f3d35-5d5b-4b02-9f8d-5391062993ed": 17, "c6e4300b-0e5a-4cad-bf56-4d6c82650fe3": 1, "cffc042f-554b-40a2-9bcf-caf825fe42e2": 18, "d8256b2e-1f1a-433d-8c2d-df11f98f835c": 19, "dbd28124-69f1-4c3c-8e95-4f4ecd169c59": 20, "df4f336f-c8f6-49ec-b44a-1030c15a48b2": 1, "f7c83c86-6f76-4c99-8264-84ca522edd6c": 21}
11	5000	25	301	242	0	0.937	2	1.0	16,9	1.1	2	0.439	24	16	10	1.0	0.0	0.0	0.71	0.284	0.296	{"0d38f8ee-1cfb-40fa-97b6-fed85f0d9526": 0, "18b29743-f0c5-4a41-a21f-73e0aa326957": 1, "206a7207-822a-41c3-8c35-53dcaa508c2c": 1, "282e25aa-bd15-4c34-b409-1ad2b122ee10": 1, "3e3c69de-b6b8-4412-ae10-6f5f8a681e01": 1, "49566efb-621c-4ab0-bb33-bfb20095a5b2": 0, "4a0c83ec-d0b0-4a6b-bf59-deb15f8aaa1f": 0, "4f59f43c-971b-49fc-b12e-9377da467477": 1, "564bbdbc-b5e3-4682-9da6-294d2fe2ce02": 1, "614bb602-45f4-489c-a7c1-014a36b30aa8": 1, "6847807a-cecc-4fa2-ab15-27cd2af640ef": 0, "83f6ba36-e9b1-48d2-93b9-8f5fabfb5f76": 1, "852a16e1-b649-4e86-9ebc-925f191650f6": 0, "956e7b58-2013-4d37-b278-47a36afe0882": 0, "ac44cbd8-942a-454d-8ecf-5ec9154ffbfa": 1, "bedd5b5d-4769-4627-8f48-444ace398d36": 0, "c7162aff-262d-4e1e-90aa-0e00f84bcbab": 1, "cde67797-3b17-4548-9c32-3026dd9d6640": 1, "d1557c4d-3ca4-47dc-938f-f67ba299f445": 1, "d3b90268-5f64-40eb-a0cb-f3c623868127": 1, "f674c0a3-0bd7-44fd-bddb-3e9bab53949c": 1, "f7685923-96e2-44a2-bc12-f1f88cbabd55": 1, "f85f561c-2db3-460e-a908-b227a234fba2": 0, "fb044581-e33f-4f85-9358-d1d9454f3418": 0, "fff0891a-840c-4a17-b2ea-f26198d27b41": 1}
12	5000	18	66	39	0	0.595	2	0.778	8,6,1,1,1,1	0.7	1	0.0	7	3	4	0.571	0.667	0.25	0.429	0.0	1.0	{"1cd09e69-5f4c-4e01-bdb5-cff205c0c0d4": 0, "1cea4f3b-1f5e-4ae4-b048-f485a83ecbab": 0, "1e2018fe-c612-4d31-89f6-76202789f478": 1, "206a7207-822a-41c3-8c35-53dcaa508c2c": 0, "3d891721-6378-44bc-b07f-32447c8f4c3a": 2, "42e7c31e-9733-414c-9a89-37db950d2c4d": 0, "48f99cb5-c40e-4604-9667-0c9d127c5746": 1, "666e9a09-ad61-4a05-8d1c-9a8410dca746": 0, "89b28f4d-f3ff-4cf5-ac51-4a1d91107ccf": 1, "8eccc7e8-e76b-4111-a0e6-800e16fdd62d": 0, "93483933-efb1-4466-b261-00e6f35413b2": 0, "94995151-1975-4eac-8bf5-a0ab4ded3b61": 3, "9756cb48-c336-4f79-a5c3-3432946a86f7": 4, "a618c8e6-520e-4855-a018-db5711f281b0": 0, "d1208322-0c51-447f-8ceb-af09e51f6a16": 5, "e8763f67-e404-4e60-bdc9-46f0eefe7861": 1, "f4421231-5bea-4eb1-ab3c-0b6da81548f0": 1, "f8d3e7a5-4f78-4633-ad23-3f8f8df2f82b": 1}
13	5000	20	326	308	0	0.974	2	1.0	10,10	0.5	1	0.0	18	11	11	1.0	0.0	0.0	0.471	0.0	1.0	{"1e2018fe-c612-4d31-89f6-76202789f478": 0, "25301592-9474-4ba6-af9b-32479ca27f1b": 1, "3d891721-6378-44bc-b07f-32447c8f4c3a": 0, "40d49c80-dc4e-415e-bcfd-d3f02ffb09b7": 1, "40f12cf6-36eb-4e0e-b139-77acfb184737": 1, "48f99cb5-c40e-4604-9667-0c9d127c5746": 0, "495bdc1d-f08f-4024-b7d5-5abf80e92cd4": 1, "4ebff94a-e4a0-48e6-924f-1dbe094533ff": 1, "5424ce96-1e42-4e51-9004-eb7656a859d1": 0, "6283d859-7252-4208-a3fd-a9a4d0c56f03": 1, "70525c06-16bd-47e6-be76-f52faa04c3a4": 0, "75971ec1-9f8b-45fb-bca4-339bbb948e40": 1, "7f0698a6-f7e8-41bd-a75a-5b5d24f66f55": 0, "89871659-1e23-4790-93fb-6784376b9821": 0, "89b28f4d-f3ff-4cf5-ac51-4a1d91107ccf": 0, "d1208322-0c51-447f-8ceb-af09e51f6a16": 0, "ea1fbfda-8d5a-47d5-b699-e2cc3d284e66": 1, "ed026db6-aaa3-4645-a762-a5c69e2254e5": 0, "f44119ba-9ebf-4212-a5b9-45bfada8b009": 1, "f9c3d401-dc1f-4b51-8aa3-9d2ed14e93e8": 1}
14	5000	25	54	12	0	0.05	0	0.0	2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0.6	2	0.002	13	6	9	0.5	1.0	0.025	0.462	0.184	0.875	{"0269d908-96e3-4ce4-86cd-be758206aa3b": 0, "02b15efc-7041-4100-9fb3-f035b4983e0a": 1, "06ea9ef1-6ba0-4de6-9ab9-9469f1ae9bad": 2, "09c3c742-c771-45e1-ae06-d83b5485b45b": 3, "09d2602b-e079-4c88-a897-df813ddc1f0a": 4, "1288c045-4100-408c-93cd-74f160dc5d16": 5, "142f8b5e-1b84-49d6-b875-686d60b28375": 6, "1962b8f1-221d-4373-bafc-43f3d12f518e": 7, "233fb988-357c-4f83-97c3-5fdb657543d7": 8, "32025a03-6951-45bc-a3d6-1b65eddd5957": 9, "353f5efe-a9d4-4938-b03f-4aa3a03ebdfe": 10, "40f12cf6-36eb-4e0e-b139-77acfb184737": 11, "433abf2e-f362-46c1-9441-8c53acfeb092": 12, "5424ce96-1e42-4e51-9004-eb7656a859d1": 13, "5690a1ab-bf0f-41f4-8735-0c92c7e862b6": 14, "6668de0d-e8e7-4002-a3ab-6c872e522b01": 15, "9bd3268e-6b2c-46c9-b4f6-f8fc83e7f9e6": 16, "b5146e0f-f375-43f1-b4e1-0651c3eee86d": 17, "c2772a9b-0348-4878-a830-dc614ff1ed48": 18, "cabcc16e-bc1c-4bc3-b42f-f4faaeac8b4a": 19, "d16bba89-1d19-4ddd-8f94-717a2f944c39": 20, "d79cacfb-10aa-4020-8f96-4cd8bbe29635": 7, "d880b827-fe3e-4653-bfed-47a53a4bf9ee": 20, "de7fb335-1087-4ca1-be8a-41138fef0c8f": 21, "e2cf7e3c-bdbe-4961-8111-2c1173cc71a0": 22}
15	5000	27	84	9	0	0.1	2	0.333	5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0.8	1	0.0	12	7	5	0.53	1.0	0.0	0.47	0.0	1.0	{"09c3c742-c771-45e1-ae06-d83b5485b45b": 0, "09d2602b-e079-4c88-a897-df813ddc1f0a": 1, "1257e6ae-63e4-4226-9bdf-5c418e9d8320": 2, "1288c045-4100-408c-93cd-74f160dc5d16": 0, "139b3e9d-0005-470d-b22e-004d68913de2": 0, "142f8b5e-1b84-49d6-b875-686d60b28375": 3, "1962b8f1-221d-4373-bafc-43f3d12f518e": 4, "233fb988-357c-4f83-97c3-5fdb657543d7": 5, "32025a03-6951-45bc-a3d6-1b65eddd5957": 6, "353f5efe-a9d4-4938-b03f-4aa3a03ebdfe": 1, "433abf2e-f362-46c1-9441-8c53acfeb092": 7, "51061687-5f1d-40c7-b2e7-736cbfbf89cf": 1, "6399865c-7d1e-4a5d-aa98-c7df4d63fd8b": 8, "6622a07e-fc7a-4eeb-b1e9-8b6fcebaf923": 9, "687996b3-49de-4fa1-9d57-882b555e8f48": 10, "77fc4fd0-23d7-441a-b028-df1d7ea28d72": 11, "785003f7-a1c1-46bc-9096-810b15c5b00a": 0, "9bd3268e-6b2c-46c9-b4f6-f8fc83e7f9e6": 12, "a4679434-e8f6-4d7e-9aaa-a573772e6852": 13, "b5146e0f-f375-43f1-b4e1-0651c3eee86d": 14, "b6e3e814-d7d4-4b4e-ba5f-318486ae344f": 15, "bf8c9676-3de4-4f70-b439-cc04bd2941d9": 16, "c142d04a-473d-4d82-b653-15872f02ce65": 17, "cd34f0b0-e7c0-4255-9b51-fbed128d787d": 18, "d16bba89-1d19-4ddd-8f94-717a2f944c39": 0, "da37b4b8-6329-4e64-8cae-3fdeef6f4327": 19, "de7fb335-1087-4ca1-be8a-41138fef0c8f": 1}
16	5000	18	138	116	0	0.732	2	0.889	10,6,1,1	0.3	1	0.0	16	8	10	1.0	0.0	0.0	0.5	0.0	1.0	{"0d2d91fe-9062-480c-81a1-64da9a183977": 0, "0dc014d5-6311-4192-9805-c91f5a131365": 1, "4fb940ce-06b5-4a48-8c6b-8ad5c5629f7d": 0, "62cd4235-755c-4af6-bff3-cd5c3643aac7": 2, "68d8509f-f6f1-44ef-bb0b-a5fa128f8c23": 2, "6cf23e9c-5e34-42d8-a528-e599f5955e3e": 2, "7b73b6eb-736a-4a79-962b-e346fc5a6c8a": 2, "88f4083f-a0f2-4404-ad8b-cefef9a8ecbb": 0, "98b4ccc2-52c2-497d-b8d0-0bd1957f1a8c": 2, "a751a469-2c11-4768-a374-5d05de028444": 3, "b84b74b3-1c38-4296-9a1d-6335bd3c8da7": 2, "bf03d95b-d265-4a3d-8491-f8beefd890b2": 0, "c4bcbc6c-cf99-47c1-aaed-55cd94a0e99a": 2, "d3926315-5bbd-4b3a-8dbd-c17c3fd7f06c": 2, "e839fea0-6009-40c4-84d3-dc2d4a92ebe2": 2, "eb429da3-31ae-4cc4-ac2e-505893f9226c": 0, "f24a6073-375b-4a9d-aa84-29e531edd530": 0, "fb8fa3a5-ac04-4b4e-a19e-887851b1833c": 2}
17	5000	23	527	522	0	0.996	2	1.0	14,9	0.6	1	0.0	23	9	15	1.0	0.0	0.0	0.502	0.0	1.0	{"05e51cd8-1b7e-44ca-9bfb-b0a7d3697056": 0, "1141ac5a-0461-4c33-ac70-0e8629292c17": 0, "17182877-877a-4d2d-a90b-05f1c3b569f1": 0, "208a4174-8493-43e2-81ef-e3399b5172d6": 1, "297442cd-9089-4162-beca-4844f6a5740b": 0, "324e2e06-a3d6-4788-87b9-9edb5c008a68": 0, "4358ea33-a0b0-41a3-8718-7e0c1c6ce22e": 0, "555b43dc-a45a-4e83-8c90-9a263cdec327": 0, "6be99111-7781-4e28-9ebb-cc418b6e64ee": 1, "7e92c45a-38ae-4bbb-a61b-e7b6a8660fff": 1, "837142dd-7a13-4e6e-b455-d10ec2eb6895": 0, "857d372b-a0c1-4050-b14c-093356d00644": 0, "86da0bd5-9f2c-45a0-8ddc-8623be5b1a43": 0, "89316896-fbb9-4bac-be79-702d84481790": 1, "a4855faa-c9fd-45a9-88f2-9b4c066fd959": 1, "ba6bc477-1a7a-41c9-ae2f-5382db58fdac": 1, "d253eff2-890a-4416-bd90-4d326242d08a": 0, "e2b1beec-6387-4224-8cdb-496988e4a465": 1, "e59d1784-76eb-400d-b17b-c674a3b28c7a": 0, "e789e26c-e944-4b22-a3e7-38dc453969bb": 0, "edd8ecbd-fc90-42d6-b166-1b87c95d3d7c": 0, "f5a720bf-f193-4bd1-bbb9-797803f8f662": 1, "fc053835-ceb8-4515-a832-a985cf4ef8ad": 1}
18	5000	23	270	186	0	0.889	2	0.957	12,10,1	0.7	2	0.324	22	12	13	1.0	0.0	0.0	0.688	0.288	0.333	{"0002934e-1489-4cd5-9365-8bd31a396cfc": 0, "05e51cd8-1b7e-44ca-9bfb-b0a7d3697056": 0, "0c584249-86ae-436d-b40e-d4528256e57d": 1, "0d1b7130-566b-4e50-aee1-6628fe559e85": 1, "15d900a6-0766-4eee-8798-cf1dc8f9ea8a": 0, "28dd8dcd-0374-4d8b-bc6c-6640c7c8f78c": 0, "464fd31a-d6ba-4116-9823-f25d95dbf1ee": 0, "56c88b2b-6902-4cc7-892e-71cddcdb4124": 0, "5fdce26f-3210-4a81-aa6a-83361e6745a3": 2, "6974e568-acfb-4cbd-aea6-80a1f5ee545a": 1, "7e407b53-125b-41f0-8c7b-eedf0d985396": 0, "87fe8404-1f4a-4bfe-8196-6c262f47adce": 0, "9739ca6f-c605-4b9e-b248-4a6aac562dd8": 1, "ac77acf6-012a-431f-877a-2c8a49aa8f1d": 0, "ad598d3f-3296-413d-9ce4-ded14ba375f1": 1, "b9634851-4772-4e16-9306-f3a22637f5e6": 0, "ba6bc477-1a7a-41c9-ae2f-5382db58fdac": 1, "bbfca31c-f2f0-4154-bb71-bfb5a618e8ce": 1, "cfd3b263-eb1c-4ef7-b827-ce8a34581790": 0, "d152497c-b906-4714-a2a6-b388be48eb1d": 1, "d2b80664-588b-4fac-b09f-363f50497570": 0, "e7ad53a4-13b0-4ffc-9f42-190cbc21234a": 1, "e90b3f7b-09c7-4932-a7b6-cc43a760f937": 1}
19	5000	21	18	0	0	0.0	0	0.0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0.5	1	0.0	7	6	2	0.476	1.0	0.0	0.524	0.0	1.0	{"0a5fd88c-c81e-47a7-aee7-2af6a81f2f21": 0, "17b55781-0854-42ea-87f2-8434ef4fdcb6": 1, "1a9a8608-0588-4837-8f70-9e7fcbadbc95": 2, "224fef8f-50e9-4818-ba8d-48832f449d3d": 3, "29be5f43-e7b1-4067-a7a6-e6d91a6647b4": 4, "4b4ddfa8-1f14-462a-b0d7-55103e077383": 5, "4b9ede45-deed-4b80-814d-1cb6425e741c": 6, "5de31d68-039e-4631-932f-c0e533ba53ea": 7, "669886b1-0d81-4346-9094-5f8a263d0318": 8, "68e05449-e6d2-4462-a094-662638527c40": 9, "867bc0e0-4ef3-4a6f-b5ac-88090b548c73": 10, "88dff2d3-63e7-4948-ab4d-36a82a1ec025": 11, "a6d2dbaa-15d6-4587-a5cd-90c4dc153f54": 12, "b8802120-408e-456d-b21c-22fa0526fe56": 13, "b905a8e8-1cd1-4bb8-b4a9-1d0cb274cdb6": 14, "c5974644-06b8-484f-ab13-604b012095f6": 15, "c62e0803-e9a6-4996-bf0a-a2227c36956b": 16, "cc217340-1053-4199-9c78-10be200c47bb": 17, "d86afc75-496e-4de9-bf15-229834823edd": 18, "da2f24d0-2d20-457a-8426-97de759f3459": 19, "ee839dbb-7f5b-43f3-8666-d9b9f57fcc28": 20}
20	5000	21	96	44	0	0.6	1	0.667	14,2,1,1,1,1,1	0.4	1	0.0	6	4	2	0.467	0.0	1.0	0.467	0.0	1.0	{"1a9a8608-0588-4837-8f70-9e7fcbadbc95": 0, "1e7c8756-ef25-4f46-b845-d08fa9318553": 0, "224fef8f-50e9-4818-ba8d-48832f449d3d": 1, "29be5f43-e7b1-4067-a7a6-e6d91a6647b4": 2, "302ba429-4be5-4809-b053-5753a6160ca8": 2, "4965c77c-c6b4-48f5-8a13-f5f03eeb7922": 2, "4b9ede45-deed-4b80-814d-1cb6425e741c": 2, "5de31d68-039e-4631-932f-c0e533ba53ea": 2, "68e05449-e6d2-4462-a094-662638527c40": 2, "6a8f1b2b-be48-4d01-98f7-fbb6052b14ec": 2, "88dff2d3-63e7-4948-ab4d-36a82a1ec025": 2, "a6d2dbaa-15d6-4587-a5cd-90c4dc153f54": 2, "aafb5f99-12d0-47d0-8c72-3ec160237d46": 3, "b1d14493-7734-4983-9ef5-1acd1b01c4b8": 2, "c5974644-06b8-484f-ab13-604b012095f6": 2, "cc217340-1053-4199-9c78-10be200c47bb": 4, "ced4c217-df2c-4fa7-9ba3-96639b97bc0e": 5, "dcb50a74-e198-4ee3-ba23-d53bb5e1e10a": 2, "ee839dbb-7f5b-43f3-8666-d9b9f57fcc28": 2, "f4f121f5-2177-4a51-8b04-7c333d129f97": 6, "f8e6e175-50c4-4912-945c-8067c1a8b857": 2}
21	5000	21	49	3	0	0.076	1	0.19	4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	0.4	2	0.02	2	2	0	0.0	1.0	nan	1.0	0.0	nan	{"14bdd8bd-0a75-4f75-a721-289298179aa0": 0, "1a9a8608-0588-4837-8f70-9e7fcbadbc95": 1, "29be5f43-e7b1-4067-a7a6-e6d91a6647b4": 2, "2ddc5405-dc3f-4de9-9cd8-9763fc7c1221": 3, "302ba429-4be5-4809-b053-5753a6160ca8": 1, "3bb58df5-fa58-4054-bca7-9177d1d8fa89": 4, "4b9ede45-deed-4b80-814d-1cb6425e741c": 5, "5de31d68-039e-4631-932f-c0e533ba53ea": 6, "6249914f-ab8d-4336-a82e-285ca8dd6a66": 7, "6a8f1b2b-be48-4d01-98f7-fbb6052b14ec": 8, "9ab49ea9-f7ee-4c73-85b4-4174b244ac03": 9, "a0b42d8c-1523-46d9-ab84-e2ed0a3ae82b": 10, "a6d2dbaa-15d6-4587-a5cd-90c4dc153f54": 11, "b1d14493-7734-4983-9ef5-1acd1b01c4b8": 12, "c384526f-4827-4259-8b4a-af01620a7c11": 13, "c5974644-06b8-484f-ab13-604b012095f6": 14, "ca3e21ff-3c35-4bdc-985b-766a08e445af": 15, "cc217340-1053-4199-9c78-10be200c47bb": 1, "e90619b6-4cfc-4262-9be5-a0323f95f541": 16, "f58c9420-37f4-4c9e-8e6a-5398d6da1688": 17, "f8e6e175-50c4-4912-945c-8067c1a8b857": 1}
22	5000	87	4290	3962	0	0.977	2	0.989	58,28,1	7.1	1	0.0	17	9	8	0.471	0.0	1.0	0.471	0.0	1.0	{"04a4d7c5-af0c-4d2a-b6e1-d9d27fe811a2": 0, "06ee6d01-7e75-496f-84c7-1d23b0b118a8": 0, "0d68d14d-0b64-4cc3-99cb-637653c53e84": 1, "1058e495-86ec-4681-9918-07c0505dce80": 0, "14129166-2786-4c02-83e6-c0a8ffee6a64": 1, "169af9d0-e58f-4c39-83a6-fb3dc6e85717": 0, "18b37615-1741-4b57-afa8-73fc46f79a8a": 1, "1c2b33a6-3bdd-4e1a-abff-13141c15c62d": 1, "1ca22b52-38c7-4201-92c3-967681b42855": 0, "1d1346fe-99cb-4fa1-83b7-60dbe073d414": 0, "1d70f0c9-7809-402b-9fac-3a4f134f1f57": 1, "1e18c4d9-19fe-4ce1-88ee-afd6d051d165": 1, "1ef481e6-54d3-432a-8d8b-aaa1feb67a70": 1, "21ab50d2-3687-493a-b064-bc90fbd31f03": 1, "22ac7460-871a-4e8b-af7e-29efc44fb077": 0, "247b771b-2ad6-4033-b917-a86c575ebe02": 1, "26333956-1889-4661-a80a-01df64e6a42a": 0, "2640fc6f-1819-4d5d-8f17-0885096ee1b2": 0, "2ce303fe-dfbf-4335-b4cc-2542d4692e71": 1, "2ec6e173-faa2-4cfc-91fa-f2893ce74fb8": 1, "32b9aae3-5b8e-46e2-bbea-e5ae559711d9": 1, "3507fad0-b88a-4a76-8d4b-4712a86afd41": 0, "3878fe35-d800-44b7-9dd4-9439da1ce2ee": 1, "38d1e528-7184-4a4b-a491-b3be3401c09e": 0, "41584cd3-4d1a-4a19-bf1a-42ad48b4eb72": 1, "4194a7f5-e3cc-4097-b6b4-7753b7e2014c": 1, "425428c3-5168-4e83-9b9c-cca94f0b4007": 1, "4dc2e8dd-dda1-432c-98ca-eb8b147204f6": 1, "51b80132-1052-4bf1-b897-958298de2a6a": 1, "546be42f-75eb-496e-aba6-31aa67d8ac18": 0, "57693d97-690a-451d-9e94-a2627174d279": 0, "586e984c-a341-4b54-9348-0c7eff6a9e16": 1, "594adb24-272f-4c1e-8fd7-51baefe25a61": 1, "59aec28a-4890-43ce-bf35-79d83b7b4021": 0, "5a521fac-249e-46fe-a493-5a77fd65f2c6": 0, "5d876831-1fed-47ed-9108-842d91bf8cf2": 1, "5ede1916-70f5-4d2e-98a4-6e17159888f8": 2, "617b35a8-dd8e-4a0b-9ee0-26469e578782": 1, "639994cd-cfed-4627-8a08-83518085ced4": 1, "655f7e30-ea22-4512-9803-4845b493ef9b": 1, "66b4d7df-4b5b-4b83-b4c8-643c54c1bd5f": 1, "66f6bc01-a87b-4b3d-a868-804bb9a80623": 1, "786f33b5-c410-4365-bf0c-de025f31700a": 0, "7fbbce6a-ea11-4eba-8954-a20ac8c723c2": 1, "839002d1-c73b-41f3-bf1a-1d80e52277c8": 1, "8536e313-e173-4d72-87df-9751fbae6c56": 0, "8685401d-52cf-456f-8e16-0180125075dc": 0, "8d1ff9f6-ceb8-46f5-a541-5357f6c66657": 1, "8eafa3e0-5122-476d-b091-fb2d1737084a": 1, "91da4809-fe1b-4e9d-82ad-783ead47f8a2": 0, "9ae3b989-27cc-4ad5-be07-fcf628ce55c0": 0, "9dca9459-fa4c-49d4-9b28-84ca3721596b": 0, "a214119a-23fc-4b3a-8e8a-6b7801323d6d": 1, "a4bb3be0-8567-4a6f-8796-2ad305ae414f": 0, "a5661190-0e6d-45a0-9bd5-9dce40e1be18": 1, "abced81a-7fad-4b8e-bf38-23af5ddd9c6f": 0, "b17c4e65-4e9d-49b3-8d64-3a3784301697": 1, "b1974e30-7d8d-44ae-88ce-0a1c7e15b5cf": 1, "b2f6fda0-e73f-4ae3-9e7b-e3abae5ebb6b": 0, "b428458b-625a-45fb-b922-1618c968d948": 1, "b99fd160-5325-4ab2-9ce5-795dac52a978": 1, "bac249c1-0db6-4b50-9578-6620a331b24a": 1, "bb055f2e-1ca3-426b-8b77-e93e92841a14": 1, "bea3568d-bc0d-4bc5-b40f-65bd16adf3fc": 1, "c1c8dc30-f3cf-4f41-b0c9-4a01d140ae07": 0, "c245ed24-148b-477f-b0f2-d4f9507a394a": 1, "c593fad0-e048-4c1e-ae7b-56cf6a59aebb": 1, "c75e9173-6cbe-42de-97cb-30e7bfe454b8": 1, "cb6a6f00-85a7-4e16-ab75-84698e05682b": 1, "cc95db89-8fd2-4c18-96ac-d154e8df9e23": 1, "d2f670a6-ce3b-4526-8166-43d6d6ecb3fc": 0, "d6ab6d78-adec-4702-915e-31d142324c4d": 1, "d70c9a83-4853-41df-a8ea-5d2556c35207": 1, "d8bdfa5c-5af4-4d6c-b8ab-486d3af7aab3": 1, "dbab4a2b-77f5-4940-8091-e254a74c5ca7": 0, "dcf9d580-7ffb-4ac7-81d0-e5ed47ae0355": 1, "e0605b29-2354-4288-b1a4-224d8de739a4": 1, "e14ef1bc-f490-46ed-9d6d-cd18703753cb": 1, "e7607951-a87e-4203-9d7c-da979a9625f3": 0, "e9ca0f0f-ec9e-48b2-a3a0-1cc3ade6bb4b": 1, "ea2b48d4-4318-44d7-bd8e-90defe8b819b": 1, "eaefc056-f151-4525-af5b-da8a988cf934": 1, "ee041645-8947-4018-a716-e19995ffdda5": 1, "f375c3ff-41ea-49ef-8eb9-52069527322a": 1, "f5a9e156-e5a6-44b0-9728-fe32c28de0d4": 1, "f5f44237-cc6c-4bbf-b63a-32c6b93389b4": 1, "fd0192e2-9db2-486b-95d5-30265f71ba60": 1}
