crID	flank	n_reads	raw_sites	sites	sv_sites	pairs_decided	n_groups	grouped_frac	sizes	secs	assigned_trio_frac	acc_asg	split_err_asg	join_err_asg	cur_n	ari_vs_cur	trio_n	trio_pat	trio_mat	acc_new	split_err_new	join_err_new	acc_cur	split_err_cur	join_err_cur	error	_labels
102	5000	26	63	48	7	0.886	2	0.962	14,11,1	1.1	1.0	1.0	0.0	0.0	1	0.0	20	9	11	1.0	0.0	0.0	0.479	0.0	1.0		{"044d0b70-78f2-4649-8e20-065cb3fffbf3": 0, "0c67b928-e3d4-41cf-b17f-6103247225bb": 1, "0f26532c-cefb-4808-bb72-ab6a71422d71": 0, "182fecfd-69e3-46c6-889a-d2d1e7b49aab": 1, "24f4005e-f68d-496f-94c5-111f0c3bcd07": 1, "27798610-61df-46d5-99e6-5718468dcab4": 1, "29db2dbc-6a0b-4003-af4e-c605b42b4c89": 0, "2e06e8f1-bc81-456a-8dc3-efadf2d77fb7": 0, "31e35b36-5d29-4a31-9144-2d59cdce5550": 0, "42dd01d7-98c0-44cd-af46-1c99dcbb5b7c": 0, "430c97c1-2c66-4ac3-b571-4f4ad91a09b0": 1, "4fc65302-c072-40f1-b2a1-ceadefeaa12c": 1, "5863073d-fcc1-41e1-a357-3269a54ff5b8": 0, "630a4060-7241-4ac9-bc09-9f2e31d05a7f": 0, "73701576-df17-45e1-aa07-56dc3dac0072": 1, "74726f52-4416-408c-bd9c-ed052b5f1c2e": 0, "84f93f3a-d3b6-43d4-94bc-cc6c43327709": 0, "8599ed4f-b541-4283-a37f-60698335c6c4": 0, "a0c26aa0-9b6a-46ba-86f1-556be984bb55": 0, "a12f6726-24e8-4eef-896a-cec5099eb89b": 1, "a2780d3a-8c1a-49e4-8c79-98c369c4ee42": 1, "b00e62aa-b64d-41e9-9b67-4dd2d5ad1302": 1, "c3fc4dd8-5fa4-477f-a240-b0dfa5a9fcd2": 1, "cf1e8a3b-abd6-4a9f-a469-0b2d95f944ff": -1, "cff507fa-23ca-46d6-a708-e82649339e14": 0, "db7f2e23-62ee-4e76-aa9e-38b3b150f0bf": 0}
103	5000	22	31	3	0	0.065	1	0.545	12,1,1,1,1,1,1,1,1,1,1	0.7	0.6	0.444	0.0	1.0	1	0.0	15	8	8	0.495	0.673	0.357	0.467	0.0	1.0		{"0cc7f014-3b2b-41b3-ae3b-a46f82a3d01d": 0, "182fecfd-69e3-46c6-889a-d2d1e7b49aab": 0, "24f4005e-f68d-496f-94c5-111f0c3bcd07": 0, "2e06e8f1-bc81-456a-8dc3-efadf2d77fb7": -1, "31e35b36-5d29-4a31-9144-2d59cdce5550": -1, "430c97c1-2c66-4ac3-b571-4f4ad91a09b0": 0, "4fc65302-c072-40f1-b2a1-ceadefeaa12c": -1, "5863073d-fcc1-41e1-a357-3269a54ff5b8": 0, "630a4060-7241-4ac9-bc09-9f2e31d05a7f": -1, "6b309a7d-3f2d-4ab0-9dc5-c34fe892f737": -1, "73701576-df17-45e1-aa07-56dc3dac0072": -1, "84f93f3a-d3b6-43d4-94bc-cc6c43327709": 0, "8599ed4f-b541-4283-a37f-60698335c6c4": -1, "a0c26aa0-9b6a-46ba-86f1-556be984bb55": -1, "a12f6726-24e8-4eef-896a-cec5099eb89b": 0, "a2780d3a-8c1a-49e4-8c79-98c369c4ee42": -1, "b00e62aa-b64d-41e9-9b67-4dd2d5ad1302": -1, "c2cc6ce6-dbef-4fc3-87ad-c253f4e30cad": 0, "c3fc4dd8-5fa4-477f-a240-b0dfa5a9fcd2": 0, "cf1e8a3b-abd6-4a9f-a469-0b2d95f944ff": 0, "cff507fa-23ca-46d6-a708-e82649339e14": 0, "db7f2e23-62ee-4e76-aa9e-38b3b150f0bf": 0}
104	5000	26	29	8	6	0.434	1	0.846	22,2,1,1	1.0	0.929	0.462	0.0	1.0	1	0.0	14	7	7	0.473	0.143	0.857	0.462	0.0	1.0		{"0163e184-574c-4806-a913-cde8aa1578a8": 0, "0cc7f014-3b2b-41b3-ae3b-a46f82a3d01d": -1, "14682438-a90b-4a59-8c93-8b5140e41ac3": 0, "182fecfd-69e3-46c6-889a-d2d1e7b49aab": 0, "1dd17c8d-8043-4fd2-a0eb-d1c15dbfdf06": 0, "1deeabd1-d202-4108-9c69-1ad0f4737193": 0, "231bfab7-bf4b-4d5c-af4a-5ee8d5cce17f": -1, "28e5624c-9f6a-43b0-9125-40d86ecc74e7": 0, "2e06e8f1-bc81-456a-8dc3-efadf2d77fb7": 0, "31e35b36-5d29-4a31-9144-2d59cdce5550": 0, "430c97c1-2c66-4ac3-b571-4f4ad91a09b0": 0, "4fc65302-c072-40f1-b2a1-ceadefeaa12c": 0, "630a4060-7241-4ac9-bc09-9f2e31d05a7f": 0, "73701576-df17-45e1-aa07-56dc3dac0072": -1, "7e1b74b5-d470-4095-8af1-4de27264d209": 0, "8375daed-bc79-4739-9dbf-d185aa968584": 0, "892dc579-77e4-4b9f-9253-7a7d1747fe40": 0, "8c13b418-7ede-49c2-95da-9b18e2218d2b": -1, "9cdb41fb-9343-4371-82f4-53d46f23a2f3": 0, "b00e62aa-b64d-41e9-9b67-4dd2d5ad1302": 0, "c2cc6ce6-dbef-4fc3-87ad-c253f4e30cad": 0, "c3fc4dd8-5fa4-477f-a240-b0dfa5a9fcd2": 0, "cff507fa-23ca-46d6-a708-e82649339e14": 0, "db7f2e23-62ee-4e76-aa9e-38b3b150f0bf": 0, "f1c6f1e7-637b-4b91-9b0c-e1f8a6e507f7": 0, "fbd79c3f-7735-458f-b671-fb8dc2e298a3": 0}
105	5000	21	341	352	16	0.952	2	1.0	15,6	0.7	1.0	1.0	0.0	0.0	2	1.0	21	6	15	1.0	0.0	0.0	1.0	0.0	0.0		{"035e7ada-b548-4ee6-af17-0a2faf1fe911": 0, "064e00f6-18d6-488d-805d-db24064ab4b4": 0, "0ddc2427-0cf1-4405-b0da-c0c7f78ade1d": 0, "16dcd01b-3a3b-482b-90a5-fe8033608ae2": 0, "31d74c48-bd75-47d8-9256-50cdf53969c0": 0, "32962f63-fe0f-4d85-a6b7-4c20aa470ebc": 0, "32ad30ba-bad3-4967-b868-7843e72f620d": 1, "45ffd5f2-47eb-4130-8e5f-3648cdb729a6": 0, "4c3ce235-227e-40d6-8940-d8fa06577451": 1, "573ec04f-4444-4775-bc9b-02858057dd5e": 1, "726f5138-a67c-407c-a6f3-1a0e1d81858f": 0, "766ac95c-58d2-4d99-9a0a-72b869441d32": 0, "95c7251f-b24b-4283-8ca7-746f2b6c6c40": 0, "99455cee-6e88-4419-aecc-793f2d4c95f5": 1, "9b89f806-6f50-4455-8714-d30555e30e9e": 0, "a082bf92-177f-4096-b63b-f5ad91b18e94": 0, "aa281234-274f-4151-85ff-31a0e940d930": 0, "d55a204e-fc1f-4c6f-bc86-439c44774b4c": 1, "ec5c091e-fa24-438c-a4ba-ff311ca6c561": 1, "f98ad348-29d3-488c-96cb-0fba3fa66482": 0, "fdb7cb5e-9c92-4ba7-832c-c1ca8983e5e8": 0}
106	5000	20	187	169	18	0.995	2	1.0	13,7	0.6	1.0	1.0	0.0	0.0	2	1.0	20	7	14	1.0	0.0	0.0	1.0	0.0	0.0		{"035e7ada-b548-4ee6-af17-0a2faf1fe911": 0, "0d8dd7c1-bed7-4cae-9bc0-8f6106b3ce23": 0, "149c2362-2cf9-497f-ae4f-02140a1fc202": 0, "2c78a4c0-12f9-4478-965d-7636a944240b": 1, "3330f8b8-8f2f-46d3-aca0-0512deaf2421": 0, "3c7ff45e-3d3c-475d-b1b8-f1933e11a062": 1, "42e551d2-264b-48b0-8fe8-9c0b93d2e2b6": 0, "53533e71-2b16-46e9-8273-e732f1c063ce": 0, "57789fff-ab45-4c4c-80a6-2c4b8f36776a": 0, "5c9e28ed-1e7d-4eae-ae68-4cca97d6b10a": 1, "70f35d03-a38c-4323-99be-562d8c9ac477": 0, "93abb207-4ee2-46a7-bfa2-46d335246c9d": 1, "961a17ae-f5cb-4509-aaed-3ad5a90da307": 0, "98e38331-e093-4cab-8838-cc669652461e": 1, "aab5bf30-af5c-432f-96f6-55c6989cca73": 1, "b4fee3b5-a25c-4c25-8dff-52ba08b2c74e": 0, "d34ed26f-0ddf-41f2-9835-1bfabeca9848": 0, "da8387e8-4087-4695-a7ec-cdc54311adc2": 1, "dc9423b4-ac15-4c8f-b928-8f864f6c778d": 0, "f98ad348-29d3-488c-96cb-0fba3fa66482": 0}
107	5000	20	263	262	19	0.984	2	1.0	12,8	0.7	1.0	1.0	0.0	0.0	2	1.0	20	12	10	1.0	0.0	0.0	1.0	0.0	0.0		{"0b08e34a-93a9-430c-964e-072786480ec5": 0, "22805924-058c-465b-9308-c3e2693d2e3d": 1, "2b3bb001-9056-45ae-8a5c-ed028fe14f20": 0, "377c855c-4427-48ca-95b9-21741a2596c5": 1, "3c3be623-e194-4c8a-9bf0-f7273df24bb4": 1, "3f433693-8f5c-440e-8f1b-07e35b545fa4": 1, "6b34866b-af12-4e91-b17c-6f49a6908bcf": 1, "801c5573-1510-49ee-b828-fd17dbd44c1e": 0, "9cd94a30-fe6a-4424-8a30-197c7f5a50f7": 1, "9dc6d4f4-6160-4791-8bf5-d770fb826837": 1, "a2aabf9d-95d4-4c3f-80ec-bf40e23d223e": 0, "b886c865-b636-41b1-afdd-8ac52a1c3bd6": 0, "bd5f7102-e396-421e-a992-8152741ad3d5": 1, "cc57ef63-b596-4e56-b98c-a0c442b39da8": 1, "e15bf5a0-3c65-47dc-b9cb-1ad88db5b047": 1, "e3da54fb-5b51-414a-8914-7f721799cc5e": 1, "e53a704f-1620-4b93-a4d2-bc1cc733875a": 1, "e7776b4f-ce61-4c68-bf08-b3868199f3f3": 0, "fd42bdf5-a2e2-4431-ae4d-50f406bba459": 0, "ffed9e87-d860-4b67-8a6f-d49900312946": 0}
108	5000	22	168	183	21	0.991	2	1.0	13,9	0.7	1.0	1.0	0.0	0.0	2	1.0	22	9	13	1.0	0.0	0.0	1.0	0.0	0.0		{"0f39c163-ce8e-473a-ac33-48784754b4d4": 0, "0fb03e3d-0092-4e95-adcc-3b9d0c7d3395": 1, "1081d860-c361-4f8c-9614-8e57242e71cf": 0, "19f64109-f95e-4ad8-8be9-4b868b403772": 0, "270ed7ab-ca80-4b21-be81-e738146dcce6": 0, "2ea291f8-cd48-4baf-b95e-6924f31295ad": 0, "33d71007-7686-42bc-ae00-4914fdbec66a": 1, "373e4240-5443-4d33-a195-3bd1ee21ad40": 0, "3e428a7b-d420-4440-b2ea-912bf1e21b75": 0, "4aee2e70-e528-4833-a409-7631d3837b29": 0, "4ca02f9c-eed0-4d4e-85d7-41ff6fe68b2c": 1, "76907698-d107-46f6-9229-38e84b430b4a": 0, "7ac5b42c-6354-4e09-af5c-db64bbc89d74": 1, "818accb0-27eb-49e6-8b5f-a48676870c24": 0, "84d11f44-b11c-47b6-8bdc-a7bee607db13": 1, "857c6054-2a1f-4894-aee5-a9c542b92316": 0, "9f934a32-ddf8-4831-b713-02051f45fd5d": 1, "adb50b22-98fc-4396-8c17-5abe89e94c85": 1, "b3dc91d4-e365-48ea-bf10-61f865c14129": 0, "b4a169a0-5e95-40d4-ad66-2948d53cc805": 1, "d5f9d232-0e61-4114-8bcb-114f68b8c364": 1, "f4da83b5-17e8-4d54-aa55-2893a7d9fbf5": 0}
109	5000	29	205	208	26	0.99	2	1.0	16,13	1.0	1.0	1.0	0.0	0.0	2	1.0	28	16	15	1.0	0.0	0.0	1.0	0.0	0.0		{"0fb03e3d-0092-4e95-adcc-3b9d0c7d3395": 0, "19f64109-f95e-4ad8-8be9-4b868b403772": 1, "270ed7ab-ca80-4b21-be81-e738146dcce6": 1, "2a4a925a-c25f-4ac6-b370-a34c48fba5f8": 0, "3ba7f543-4991-4e52-bd9d-5cabf6d96338": 0, "3e428a7b-d420-4440-b2ea-912bf1e21b75": 1, "4aee2e70-e528-4833-a409-7631d3837b29": 1, "4b8671a5-219e-4a99-96b9-115e73f76fec": 1, "4ca02f9c-eed0-4d4e-85d7-41ff6fe68b2c": 0, "5d243019-0628-4441-9f6f-392e1edbc95b": 1, "70d90749-1619-47a5-8640-053f34d9b41a": 0, "83524036-ae32-4501-83fd-9f9dbb97bffe": 1, "83733692-0d5d-438e-97ea-9607f93ddd34": 0, "857c6054-2a1f-4894-aee5-a9c542b92316": 1, "99930074-1723-4ad6-8ef9-8e1ead692e81": 1, "9f934a32-ddf8-4831-b713-02051f45fd5d": 0, "adb50b22-98fc-4396-8c17-5abe89e94c85": 0, "b21b48ab-04a5-49d7-a28c-5d8141914064": 0, "b3dc91d4-e365-48ea-bf10-61f865c14129": 1, "be49331f-4c1d-4a8e-bb99-41cdee45b795": 0, "d5f9d232-0e61-4114-8bcb-114f68b8c364": 0, "d6edc823-2eb5-4fd1-a87a-e7e05fbdae0c": 0, "de8ddf4b-1e8c-4882-87af-3d262de16eeb": 1, "ee6a6e67-d6bc-4c13-82ac-35e72d87e39b": 0, "f0add84d-79c0-40f0-9549-2256decf4051": 0, "f3975876-81b1-41c6-969a-65bd385d5fe1": 1, "f468d67d-474b-4360-bbaf-94032ff18944": 0, "f4da83b5-17e8-4d54-aa55-2893a7d9fbf5": 1, "ff2f5d0e-cd6b-4d4d-ab29-06d2294220f3": 0}
110	5000	29	946	933	71	0.916	2	0.966	16,12,1	1.5	0.966	1.0	0.0	0.0	2	0.802	29	18	13	0.97	0.061	0.0	0.931	0.076	0.062		{"0623f4a0-e183-4681-96ae-21c11c8e1454": 0, "1a98bc1e-13b9-4323-93ca-2f8c05e7c5ad": 1, "24b4b6c5-7362-4778-8997-ecf12ad8cb5a": 1, "2674d0d0-298e-40ee-bf2c-115c61b185e1": 0, "398035b4-cbae-47aa-8453-52317ef38c41": 0, "3c2b6004-b962-44c4-94e9-7504d11384d2": 1, "496a10c1-1d16-4d7b-b990-3afbe5558986": 1, "49bd5aa0-3ffc-4072-845b-05a803ee9303": 1, "4ffdc5b6-4f64-400d-9102-965851e8a9ba": 0, "5358ec70-8b3e-474c-b1ab-ae4d4a991579": 1, "557bd2e3-2a57-4652-9a81-a98cec499d8b": 1, "64f00c84-c52b-498a-bac9-8c6e0f2a815b": 0, "720b576e-b7b6-41ff-9042-4aabb623be3e": -1, "75b9bbb9-3389-46d2-9208-a0b1ede8af8d": 1, "78ed453b-c55e-470e-877e-d1b96d6ec510": 1, "86a8d410-d1e6-48fb-ae73-6981911cd10c": 0, "90070e94-1978-43d8-bb82-0f8c19806fbd": 1, "b679a821-da4d-465d-9882-ef600faab6d0": 1, "b78851d8-70c0-4447-a1be-be39489af531": 0, "bb3632eb-fed8-4b6d-b149-420584859af2": 0, "cc70312e-7fd4-4abf-b13a-f9b9499909d6": 1, "d2883a35-ff76-458f-9030-0be2701a9ba0": 1, "d85d2a60-4e04-4249-8403-002911935f59": 0, "ed8adb2f-6939-4108-b29c-bfe74b1c4c4b": 1, "f1b8608c-be12-4f3e-a9a3-e8d8a55c08f7": 0, "f50d7606-0368-4629-9c6d-7ead09849f40": 0, "f678f381-05db-4959-b2c6-33b979122d4a": 1, "fac0699e-3a4a-4de6-8c02-d184e8511153": 1, "fe512326-e2ef-4a4e-9a97-25ca16f56e69": 0}
111	5000	17	277	276	15	1.0	2	1.0	10,7	0.5	1.0	1.0	0.0	0.0	2	1.0	17	9	11	1.0	0.0	0.0	1.0	0.0	0.0		{"026c6101-7d80-4d3c-889e-654e2141d542": 0, "0c06edad-6e40-4204-8b5e-929da395b3b6": 0, "125dfb7c-0ced-48b4-aa73-09d6ac953643": 0, "1e497eda-0b03-4b26-88fe-498b5965f715": 1, "2af20dba-1d3e-480c-982e-2ea0ced68977": 0, "2f5d3843-c356-4677-bc65-722bb21bb74f": 0, "45a1214c-3aa7-4853-a27f-48b4d0b9f2d8": 0, "4c61d1ff-022a-472c-a15b-048bc5c9d9e2": 1, "4da33ae6-d537-4874-ab72-36c4f2458df6": 1, "53e6aeea-8511-4708-ac60-91b9e30d86f1": 0, "54c55db0-d06f-4457-acac-0a0795efa593": 1, "62d07e78-151f-461f-8a70-5b1287817320": 0, "7ae71525-2e1a-42fb-8946-d1e1aa66b870": 0, "7f94c861-b497-426e-9fd1-b4117fbcec05": 0, "80282e05-eb25-477c-ab8e-953096919eea": 1, "a4f9eb59-5576-4641-9739-6e84c1fe15ca": 1, "b67e59c8-df94-4151-84dd-799696646113": 1}
112	5000	17	162	157	14	0.978	2	1.0	9,8	0.4	1.0	1.0	0.0	0.0	2	0.764	17	10	9	1.0	0.0	0.0	0.882	0.109	0.125		{"064386db-a37f-4a4e-99ff-2a7404f386b4": 0, "08b58971-fb96-4224-93f7-5ecec889fd31": 0, "0b5b99e9-d3ae-4280-9c0d-300549a49dec": 1, "2a753a1f-f2ab-4080-94ce-4ab5e6b73c76": 0, "2cec32e4-2034-4c5c-8503-6b5a5c40d8dc": 0, "3723721b-aa38-4403-87c4-0c27b3342390": 1, "38dc1cc4-f7ac-47b6-9ea7-f145f6a31917": 1, "5023d690-ea0e-44a3-9219-aff330caa7e2": 0, "53be7657-024b-44a4-b78d-5677980da945": 1, "6a6c76f9-0d88-44a9-8073-ad8b42e1e397": 0, "aca1aa99-87c4-46d7-9d30-a756a8b58a0c": 1, "b4cec9c0-51ff-4e6d-9d5f-8cffb64c52f9": 0, "c3f0ecde-37f7-45ea-a511-093fd33c06cb": 1, "c3fd8bd2-29c7-4a3d-ac32-48c21c753b4e": 0, "c7d696ee-d12c-433d-97f2-063b0314568d": 1, "d11bea92-7455-48f1-9cf3-5336cd0504d7": 1, "d3fa9857-ed24-45c7-9c01-7494640b4c3f": 0}
113	5000	21	706	678	12	0.971	2	1.0	14,7	0.7	1.0	1.0	0.0	0.0	1	0.0	20	7	15	1.0	0.0	0.0	0.558	0.0	1.0		{"076dd2cd-e537-46c3-8508-0622983989cc": 0, "0d5396fe-e375-44b1-ad66-2fe92d235241": 0, "11986924-6859-498e-8923-b37bbccd5d18": 0, "47ab9c83-e215-4ff1-87b4-dadf35170acc": 0, "56eb548c-a1da-4bc6-aa8f-742ee7420f2e": 0, "586741c7-8084-4f2c-97be-97b14f220cb2": 0, "607cb586-cc9d-47d0-a028-ab9b1a76d973": 1, "6ee117bc-74ca-4153-8350-5ac79c59ee48": 1, "70918af3-2db3-4c64-8522-e561901c4cdf": 0, "8e802657-e056-48c7-a85e-08ff4f900de6": 0, "91ca05b2-eb8c-405b-8012-46eb9d5497f4": 1, "92e288aa-32a7-493e-a2a3-c3ed35884f84": 0, "93877108-404a-4b34-808e-60c5c9781edf": 1, "9551d74b-0e43-4bf3-b32e-f6a77c7ddc0c": 1, "962ae260-c4e4-4f7c-a539-d3929d01e453": 1, "a517abbb-e3d7-48be-aded-d1da4b33fbd2": 0, "aa026000-4233-42bc-b40c-f83adc81a74c": 0, "b50611f8-e95b-4bd9-be9a-462c10ea1e8a": 0, "d01dfd48-c04d-46d5-8e97-e42f3c525f4a": 0, "fa3f45db-cf58-4bb5-8959-c4a35d724787": 0, "faf66653-152a-43a3-bcd5-e30516ba207a": 1}
114	5000	26	14	2	0	0.068	1	0.5	13,1,1,1,1,1,1,1,1,1,1,1,1,1	0.9	0.389	0.429	0.0	1.0	1	0.0	18	9	9	0.51	0.875	0.148	0.471	0.0	1.0		{"016f1c18-7840-4d21-8d85-0dbf3dfee54f": -1, "0dd0b02c-4a7c-48b5-b37a-ee7f7ce5d5ad": 1, "1051ef16-a7cb-482d-b7fb-1a55accad90e": -1, "137ce419-70c2-4caf-a2bd-c0f0e7a49540": -1, "229f91d8-5515-4d91-83a6-ca16b040c804": 1, "22e3079f-1d96-443c-b975-9fbdef04befb": 1, "2efe795f-c346-41d3-997f-171f60742111": -1, "368fb7e8-538c-4940-84c7-744046f4e5b6": 1, "38e61e5e-e45d-4ea8-9929-132fd3982977": -1, "3c17ac2a-43d3-4d3d-adfa-61ca238a77b3": -1, "3e29679a-e4bb-4d0b-aed0-efff3abc6a4b": 1, "3f9cfadf-9e03-4884-bfb3-7af9d2db1b15": 1, "6e8c939d-37d5-40d5-bcaf-d3b57544bee5": 1, "7ca8504d-5550-4c9e-8b2e-cf3b71cdc946": -1, "8448826b-7cbc-403e-afd7-c35936a722e7": -1, "8a463c40-75f6-49ff-be49-01780c02cf88": -1, "a053d967-81c4-4f93-824d-dcb90b0e7ba0": 1, "ae023472-5eb4-4fab-b680-ddd7d696b658": 1, "b21dfeb0-cee4-4059-91e1-676955f6f813": -1, "b8c29651-b2dc-466e-889f-cf2b707c1851": 1, "bca3f302-3e7d-46ae-b595-2006e08f3905": -1, "c9327bcf-f446-4f41-ad1f-0bb92e4993c2": 1, "d68c3342-462e-4d64-ad8c-094310633e32": -1, "db1dc09f-5776-4279-8491-b57f2199e5d5": 1, "e05b052f-859e-4f4e-a0c2-d6e6d76f7b9b": -1, "f3cc440b-1be2-4135-a50d-78848d332b01": 1}
115	5000	30	23	6	0	0.124	2	0.3	6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1.0	0.214	0.333	0.667	nan	1	0.0	14	9	8	0.505	0.978	0.0	0.505	0.0	1.0		{"02df2636-cb62-4676-a4f8-792cb9ff3bcd": -1, "0866ca9d-a2da-48b6-91e3-8d8b4990ced8": -1, "0a53e395-b5ee-4a83-9451-c3df7b07b7fb": 2, "0b9eed4d-f763-43e0-8bec-3345ad72f5bc": 2, "1288954f-7d95-4404-bca5-74aae9514cbb": -1, "166a53e1-5a9a-4605-bd30-910e9ff971aa": -1, "1769f0e1-b038-41c9-828b-9845705172bb": -1, "1cb7d0d9-d39f-4fbd-bdec-e34aa5e2827d": -1, "20636aa0-4ce3-424c-bd0b-9f195dd9d359": -1, "292f357e-f84c-41f7-8f30-74a863312c3f": -1, "36edc19c-5845-4b21-83c9-7b9cee94475c": 9, "41eebde2-3abf-4b10-9b5a-e15508b6dd44": 2, "62ffde1c-50ec-49ba-bfd0-a065c31b8ff0": -1, "71718eac-aaa5-40c7-b27a-9d021764418c": -1, "7872e096-1b69-4064-862a-9143533021e0": 2, "7c0c5ede-2dff-4edd-bb32-c84ec2747d6e": 2, "7e2e45e1-ed1c-412b-b67c-246e22e7bf5f": 9, "7f5f4fdf-b2ac-47f4-b55e-5330c3594706": -1, "84f655a8-68c7-4723-8fbb-015ecd73a6e5": -1, "86f4ea9e-62a6-4049-8598-308231c7a54b": 9, "8ae9aa5e-0cf4-4107-9225-c72363481b09": -1, "90bfd6dd-ffc8-42ba-97c8-27efa52674db": -1, "95ee3ed4-c450-4d62-8a92-38d10cd783b1": -1, "97507942-cd45-493f-b3d1-64d6b95d790b": -1, "acb3f208-273f-40a1-888e-1cd5170fdc0b": -1, "beb4eb13-c83e-4897-bb08-fc5373fd0857": -1, "c51b7f77-1090-4600-905f-aa4c6ab42cb5": 2, "cfaad637-f9e6-41e4-8a30-9add44864781": -1, "d0633e26-9f9d-4de2-a68c-00f721d8a290": -1, "e56ac9f2-0b3a-4306-b1d4-2f31eec11518": -1}
116	5000	13	342	368	36	0.885	2	1.0	9,4	0.6	1.0	1.0	0.0	0.0	2	1.0	13	9	5	1.0	0.0	0.0	1.0	0.0	0.0		{"03b7072c-c0b3-4526-afe0-bec427a8f4d8": 0, "2c529e91-530a-4e14-9a50-70585a2d4dca": 0, "32454ac8-26a1-49cd-97c0-acea980bb07d": 1, "45acdb3a-da44-4c65-844a-01a441a3ebcb": 1, "60e39ed2-c9ba-457f-8d01-2393bbf7abe7": 1, "72a8f1f6-5b04-4152-b50f-ad957c2a8305": 1, "74d99ce2-e2e1-488b-962c-1fac447d081a": 1, "99257b1f-de22-40e3-9cb0-6b01f70c742b": 1, "b1e5ea5d-344f-4a47-8070-f0c3b976b6d5": 0, "c338fe90-430c-4797-8cde-3524334d1625": 1, "ca5e6998-fe79-4d4e-9b5b-c9221e9c9785": 1, "d822a02d-a57b-44e8-a653-4009c0d5c4b9": 1, "e4344de9-f66f-427b-a5fd-cd1fbbcacc02": 0}
117	5000	17	570	594	47	0.971	2	1.0	10,7	0.8	1.0	1.0	0.0	0.0	2	1.0	17	10	12	1.0	0.0	0.0	1.0	0.0	0.0		{"03b7072c-c0b3-4526-afe0-bec427a8f4d8": 0, "2c529e91-530a-4e14-9a50-70585a2d4dca": 0, "32454ac8-26a1-49cd-97c0-acea980bb07d": 1, "450d282f-0c30-4598-b662-684a251594f6": 0, "45acdb3a-da44-4c65-844a-01a441a3ebcb": 1, "60e39ed2-c9ba-457f-8d01-2393bbf7abe7": 1, "6885e241-64c4-42d8-a1c5-690de66e0ec0": 0, "74d99ce2-e2e1-488b-962c-1fac447d081a": 1, "99257b1f-de22-40e3-9cb0-6b01f70c742b": 1, "b1e5ea5d-344f-4a47-8070-f0c3b976b6d5": 0, "c338fe90-430c-4797-8cde-3524334d1625": 1, "d2f20963-305d-491e-b9aa-f2f2d9e22ecb": 0, "d58f1f22-f998-48ec-b9f5-f0ccb83a0a66": 0, "d822a02d-a57b-44e8-a653-4009c0d5c4b9": 1, "dea5dadf-757f-44d9-bba7-bdb48a773237": 0, "e4344de9-f66f-427b-a5fd-cd1fbbcacc02": 0, "f6521322-4b0a-4998-a49b-88b76bcde1b5": 0}
118	5000	18	181	132	0	0.98	2	1.0	14,4	0.4	1.0	1.0	0.0	0.0	1	0.0	18	16	6	1.0	0.0	0.0	0.634	0.0	1.0		{"013d5ba9-bff6-4011-8108-af67fdd375e4": 0, "10c2d845-dbf2-42ad-866a-961abf50224a": 0, "14164a30-31c7-4ef5-8ef6-d5f1b8044942": 1, "1db5cd37-cfa9-4491-beda-c5323189ae06": 0, "201dfe34-c558-43f7-bc70-0dfa1bc2b463": 0, "35f45bec-bb54-48b1-9f7a-aaf6c818b20e": 0, "3933f8d8-82ba-43b6-8c2f-e39b915b9c35": 1, "48046493-f1ed-41bd-b7ef-4cd3070c0547": 0, "588c7b45-7360-4173-b3a2-f5ef5d5da697": 0, "7ac096d7-38e8-403b-bd5b-c1c7dc4aca7d": 0, "7cfdf0d2-6144-420a-aac6-96ac63e5fe58": 0, "8b6a1d91-6bde-40dc-8901-7b91f56a5eab": 0, "9383a8cc-1e63-434b-8bb7-8ec971d0a172": 1, "9555319b-9644-44f9-a1bc-7a8bd84a9c7f": 0, "99bef6c2-8297-45f7-b6d0-9fd9c2aeab96": 0, "d4deeb74-2072-44e8-83e1-0816582b9e40": 0, "d5af3e8c-2164-4e08-b080-2e06f8072870": 0, "e35ebd80-0a0b-4700-ad4a-937c548b3e24": 1}
